"Id_Restaurant","id_franchise","latitude","longitude","Score","appreciation"
1,"BKG","25.8092","-80.24","4.790731853177392",NULL
2,"BKG","25.8587","-80.2094","2.32607433706408",NULL
3,"BKG","25.8471","-80.2415","4.729452004757518",NULL
4,"BKG","25.8306","-80.2661","2.7394253864695117",NULL
5,"BKG","25.9377","-80.2449","2.6410529120649375",NULL
6,"BKG","29.187","-82.1061","2.9946315196664526",NULL
7,"BKG","27.9256","-82.7874","3.2439167216768587",NULL
8,"BKG","41.8426","-87.7052","2.8780220723020182",NULL
9,"BKG","34.0096","-85.9876","2.9712968443987284",NULL
10,"BKG","32.9516","-117.062","2.3954076573969623",NULL
11,"BKG","40.3206","-79.6927","2.4976790980925605",NULL
12,"BKG","40.4446","-75.3591","3.813115916004068",NULL
13,"BKG","40.6251","-111.834","4.465512476773043",NULL
14,"BKG","35.5665","-77.4041","3.1867147183887843",NULL
15,"BKG","32.4817","-93.7635","4.406787093654181",NULL
16,"BKG","30.0211","-90.2538","2.7978506971163744",NULL
17,"BKG","34.2388","-80.6612","2.3498990375661575",NULL
18,"BKG","31.8468","-81.6033","3.5797710623939385",NULL
19,"BKG","37.5054","-77.6073","4.678791090841655",NULL
20,"BKG","27.8938","-82.2703","4.039733908090669",NULL
21,"BKG","39.4244","-84.5945","4.831760930311118",NULL
22,"BKG","29.5958","-95.5266","3.8955199455700775",NULL
23,"BKG","26.8531","-80.0585","3.4247921176059934",NULL
24,"BKG","42.4251","-123.33","2.3884980263543536",NULL
25,"BKG","40.7632","-73.878","2.935723798835119",NULL
26,"BKG","42.8576","-77.0013","2.1466544758504478",NULL
27,"BKG","35.5601","-77.0607","3.0615764967008845",NULL
28,"BKG","35.1632","-114.573","2.980770734749263",NULL
29,"BKG","41.5117","-87.8494","3.599404453815007",NULL
30,"BKG","41.2043","-96.1294","2.506181471550602",NULL
31,"BKG","33.9108","-117.866","4.101515218640536",NULL
32,"BKG","30.2849","-89.7528","4.358897746957071",NULL
33,"BKG","40.7866","-74.6821","4.929581828466796",NULL
34,"BKG","37.2838","-81.2489","3.1383422350470864",NULL
35,"BKG","29.9918","-90.2507","3.132538194222162",NULL
36,"BKG","39.3944","-74.3979","4.984097332602358",NULL
37,"BKG","40.9461","-78.9678","4.479371255622555",NULL
38,"BKG","47.2049","-122.234","4.682191642102724",NULL
39,"BKG","39.2051","-122.004","4.820194057162158",NULL
40,"BKG","34.6755","-92.3397","2.1816732814061135",NULL
41,"BKG","34.0192","-118.47","4.5948655520549115",NULL
42,"BKG","43.0288","-77.4408","3.099447894490412",NULL
43,"BKG","37.3245","-121.912","2.0389827950237707",NULL
44,"BKG","44.7158","-92.846","2.0297374537456983",NULL
45,"BKG","33.949","-118.386","3.418558087317357",NULL
46,"BKG","34.867","-82.4645","4.235418452244889",NULL
47,"BKG","33.4909","-117.698","2.510554029030585",NULL
48,"BKG","45.1263","-93.2564","2.9526568015252392",NULL
49,"BKG","40.796","-75.9685","3.384969479084351",NULL
50,"BKG","38.7621","-77.4598","2.539744360337047",NULL
51,"BKG","44.9506","-123.052","4.294499492594449",NULL
52,"BKG","37.5509","-122.051","4.953867479003081",NULL
53,"BKG","38.2957","-77.5126","3.1027282725398635",NULL
